[14:29:56.878|Tx] $BRK
[14:30:10.689|Rx] 02 e2 0b 02 e1 0b 35 06 00 00 00 08 00 00 00 c6 86 1b 03 
[14:30:10.689|Tx] 02 62 0b 
[14:30:10.689|Tx] 02 61 0c 35 b2 00 00 02 8a 00 82 39 00 52 5d ff 80 80 91 69 9e 66 5c ae 9c 7e a7 7d 59 9f 58 95 3f 95 4d 7c 4e 8d 67 8d 35 88 43 68 71 88 6c 76 80 88 b6 93 60 64 7e 81 b0 9f 55 58 69 66 9f a2 86 6b 82 65 85 5a 8d 7e 85 a8 94 62 a2 5b 6a b2 9b 4c a1 75 bc 5e a1 83 74 9b ac 88 9d 8e 36 79 46 8f 4d 88 29 81 29 97 3c 64 52 74 59 8a 73 8a 66 7d ae 95 4c 6c 4f 60 53 58 95 9b 7b 7f 87 95 82 71 8c b0 bb 3f 6b 87 18 91 b5 c9 b2 dd dd 52 20 b1 59 ff 04 0a 00 30 30 30 30 30 30 31 30 20 00 14 05 00 6e 61 6d 65 00 14 08 00 73 75 72 6e 61 6d 65 00 60 01 00 01 2e 9d 1b 03 
[14:30:10.712|Rx] 02 e2 0c 02 e1 0c 35 06 00 00 00 09 00 00 00 72 f0 1b 03 
[14:30:10.712|Tx] 02 62 0c 
[14:30:10.712|Tx] 02 61 0d 35 b2 00 00 02 8a 00 82 39 00 52 5d ff 80 80 91 69 9e 66 5c ae 9c 7e a7 7d 59 9f 58 95 3f 95 4d 7c 4e 8d 67 8d 35 88 43 68 71 88 6c 76 80 88 b6 93 60 64 7e 81 b0 9f 55 58 69 66 9f a2 86 6b 82 65 85 5a 8d 7e 85 a8 94 62 a2 5b 6a b2 9b 4c a1 75 bc 5e a1 83 74 9b ac 88 9d 8e 36 79 46 8f 4d 88 29 81 29 97 3c 64 52 74 59 8a 73 8a 66 7d ae 95 4c 6c 4f 60 53 58 95 9b 7b 7f 87 95 82 71 8c b0 bb 3f 6b 87 18 91 b5 c9 b2 dd dd 52 20 b1 59 ff 04 0a 00 30 30 30 30 30 30 31 31 20 00 14 05 00 6e 61 6d 65 00 14 08 00 73 75 72 6e 61 6d 65 00 60 01 00 01 4f 31 1b 03 
[14:30:10.734|Rx] 02 e2 0d 02 e1 0d 35 06 00 00 00 0a 00 00 00 ae 6b 1b 03 
[14:30:10.734|Tx] 02 62 0d 
[14:30:10.734|Tx] 02 61 0e 35 b2 00 00 02 8a 00 82 39 00 52 5d ff 80 80 91 69 9e 66 5c ae 9c 7e a7 7d 59 9f 58 95 3f 95 4d 7c 4e 8d 67 8d 35 88 43 68 71 88 6c 76 80 88 b6 93 60 64 7e 81 b0 9f 55 58 69 66 9f a2 86 6b 82 65 85 5a 8d 7e 85 a8 94 62 a2 5b 6a b2 9b 4c a1 75 bc 5e a1 83 74 9b ac 88 9d 8e 36 79 46 8f 4d 88 29 81 29 97 3c 64 52 74 59 8a 73 8a 66 7d ae 95 4c 6c 4f 60 53 58 95 9b 7b 7f 87 95 82 71 8c b0 bb 3f 6b 87 18 91 b5 c9 b2 dd dd 52 20 b1 59 ff 04 0a 00 30 30 30 30 30 30 31 32 20 00 14 05 00 6e 61 6d 65 00 14 08 00 73 75 72 6e 61 6d 65 00 60 01 00 01 cd d5 1b 03 
[14:30:10.756|Rx] 02 e2 0e 02 e1 0e 35 06 00 00 00 0b 00 00 00 1a 1d 1b 03 
[14:30:10.756|Tx] 02 62 0e 
[14:30:10.756|Tx] 02 61 0f 35 b2 00 00 02 8a 00 82 39 00 52 5d ff 80 80 91 69 9e 66 5c ae 9c 7e a7 7d 59 9f 58 95 3f 95 4d 7c 4e 8d 67 8d 35 88 43 68 71 88 6c 76 80 88 b6 93 60 64 7e 81 b0 9f 55 58 69 66 9f a2 86 6b 82 65 85 5a 8d 7e 85 a8 94 62 a2 5b 6a b2 9b 4c a1 75 bc 5e a1 83 74 9b ac 88 9d 8e 36 79 46 8f 4d 88 29 81 29 97 3c 64 52 74 59 8a 73 8a 66 7d ae 95 4c 6c 4f 60 53 58 95 9b 7b 7f 87 95 82 71 8c b0 bb 3f 6b 87 18 91 b5 c9 b2 dd dd 52 20 b1 59 ff 04 0a 00 30 30 30 30 30 30 31 33 20 00 14 05 00 6e 61 6d 65 00 14 08 00 73 75 72 6e 61 6d 65 00 60 01 00 01 ac 79 1b 03 
[14:30:10.778|Rx] 02 e2 0f 02 e1 0f 35 06 00 00 00 0c 00 00 00 37 4c 1b 03 
[14:30:10.778|Tx] 02 62 0f 
[14:30:10.778|Tx] 02 61 10 35 b2 00 00 02 8a 00 82 39 00 52 5d ff 80 80 91 69 9e 66 5c ae 9c 7e a7 7d 59 9f 58 95 3f 95 4d 7c 4e 8d 67 8d 35 88 43 68 71 88 6c 76 80 88 b6 93 60 64 7e 81 b0 9f 55 58 69 66 9f a2 86 6b 82 65 85 5a 8d 7e 85 a8 94 62 a2 5b 6a b2 9b 4c a1 75 bc 5e a1 83 74 9b ac 88 9d 8e 36 79 46 8f 4d 88 29 81 29 97 3c 64 52 74 59 8a 73 8a 66 7d ae 95 4c 6c 4f 60 53 58 95 9b 7b 7f 87 95 82 71 8c b0 bb 3f 6b 87 18 91 b5 c9 b2 dd dd 52 20 b1 59 ff 04 0a 00 30 30 30 30 30 30 31 34 20 00 14 05 00 6e 61 6d 65 00 14 08 00 73 75 72 6e 61 6d 65 00 60 01 00 01 e8 0c 1b 03 
[14:30:10.800|Rx] 02 e2 10 02 e1 10 35 06 00 00 00 0d 00 00 00 83 3a 1b 03 
[14:30:10.800|Tx] 02 62 10 
[14:30:10.800|Tx] 02 61 1b 12 35 b2 00 00 02 8a 00 82 39 00 52 5d ff 80 80 91 69 9e 66 5c ae 9c 7e a7 7d 59 9f 58 95 3f 95 4d 7c 4e 8d 67 8d 35 88 43 68 71 88 6c 76 80 88 b6 93 60 64 7e 81 b0 9f 55 58 69 66 9f a2 86 6b 82 65 85 5a 8d 7e 85 a8 94 62 a2 5b 6a b2 9b 4c a1 75 bc 5e a1 83 74 9b ac 88 9d 8e 36 79 46 8f 4d 88 29 81 29 97 3c 64 52 74 59 8a 73 8a 66 7d ae 95 4c 6c 4f 60 53 58 95 9b 7b 7f 87 95 82 71 8c b0 bb 3f 6b 87 18 91 b5 c9 b2 dd dd 52 20 b1 59 ff 04 0a 00 30 30 30 30 30 30 31 35 20 00 14 05 00 6e 61 6d 65 00 14 08 00 73 75 72 6e 61 6d 65 00 60 01 00 01 89 a0 1b 03 
[14:30:10.822|Rx] 02 e2 1b 12 02 e1 1b 12 35 06 00 00 00 0e 00 00 00 5f a1 1b 03 
[14:30:10.822|Tx] 02 62 1b 12 
[14:30:10.822|Tx] 02 61 12 35 b2 00 00 02 8a 00 82 39 00 52 5d ff 80 80 91 69 9e 66 5c ae 9c 7e a7 7d 59 9f 58 95 3f 95 4d 7c 4e 8d 67 8d 35 88 43 68 71 88 6c 76 80 88 b6 93 60 64 7e 81 b0 9f 55 58 69 66 9f a2 86 6b 82 65 85 5a 8d 7e 85 a8 94 62 a2 5b 6a b2 9b 4c a1 75 bc 5e a1 83 74 9b ac 88 9d 8e 36 79 46 8f 4d 88 29 81 29 97 3c 64 52 74 59 8a 73 8a 66 7d ae 95 4c 6c 4f 60 53 58 95 9b 7b 7f 87 95 82 71 8c b0 bb 3f 6b 87 18 91 b5 c9 b2 dd dd 52 20 b1 59 ff 04 0a 00 30 30 30 30 30 30 31 36 20 00 14 05 00 6e 61 6d 65 00 14 08 00 73 75 72 6e 61 6d 65 00 60 01 00 01 0b 44 1b 03 
[14:30:10.844|Rx] 02 e2 12 02 e1 12 35 06 00 00 00 0f 00 00 00 eb d7 1b 03 
[14:30:10.844|Tx] 02 62 12 
[14:30:10.844|Tx] 02 61 1b 14 35 b2 00 00 02 8a 00 82 39 00 52 5d ff 80 80 91 69 9e 66 5c ae 9c 7e a7 7d 59 9f 58 95 3f 95 4d 7c 4e 8d 67 8d 35 88 43 68 71 88 6c 76 80 88 b6 93 60 64 7e 81 b0 9f 55 58 69 66 9f a2 86 6b 82 65 85 5a 8d 7e 85 a8 94 62 a2 5b 6a b2 9b 4c a1 75 bc 5e a1 83 74 9b ac 88 9d 8e 36 79 46 8f 4d 88 29 81 29 97 3c 64 52 74 59 8a 73 8a 66 7d ae 95 4c 6c 4f 60 53 58 95 9b 7b 7f 87 95 82 71 8c b0 bb 3f 6b 87 18 91 b5 c9 b2 dd dd 52 20 b1 59 ff 04 0a 00 30 30 30 30 30 30 31 37 20 00 14 05 00 6e 61 6d 65 00 14 08 00 73 75 72 6e 61 6d 65 00 60 01 00 01 6a e8 1b 03 
[14:30:10.867|Rx] 02 e2 1b 14 02 e1 1b 14 35 06 00 00 00 10 00 00 00 a2 18 1b 03 
[14:30:10.867|Tx] 02 62 1b 14 
[14:30:10.867|Tx] 02 61 14 35 b2 00 00 02 8a 00 82 39 00 52 5d ff 80 80 91 69 9e 66 5c ae 9c 7e a7 7d 59 9f 58 95 3f 95 4d 7c 4e 8d 67 8d 35 88 43 68 71 88 6c 76 80 88 b6 93 60 64 7e 81 b0 9f 55 58 69 66 9f a2 86 6b 82 65 85 5a 8d 7e 85 a8 94 62 a2 5b 6a b2 9b 4c a1 75 bc 5e a1 83 74 9b ac 88 9d 8e 36 79 46 8f 4d 88 29 81 29 97 3c 64 52 74 59 8a 73 8a 66 7d ae 95 4c 6c 4f 60 53 58 95 9b 7b 7f 87 95 82 71 8c b0 bb 3f 6b 87 18 91 b5 c9 b2 dd dd 52 20 b1 59 ff 04 0a 00 30 30 30 30 30 30 31 38 20 00 14 05 00 6e 61 6d 65 00 14 08 00 73 75 72 6e 61 6d 65 00 60 01 00 01 83 ae 1b 03 
[14:30:10.888|Rx] 02 e2 14 02 e1 14 35 06 00 00 00 1b 12 00 00 00 16 6e 1b 03 
[14:30:10.888|Tx] 02 62 14 
[14:30:10.888|Tx] 02 61 15 35 b2 00 00 02 8a 00 82 39 00 52 5d ff 80 80 91 69 9e 66 5c ae 9c 7e a7 7d 59 9f 58 95 3f 95 4d 7c 4e 8d 67 8d 35 88 43 68 71 88 6c 76 80 88 b6 93 60 64 7e 81 b0 9f 55 58 69 66 9f a2 86 6b 82 65 85 5a 8d 7e 85 a8 94 62 a2 5b 6a b2 9b 4c a1 75 bc 5e a1 83 74 9b ac 88 9d 8e 36 79 46 8f 4d 88 29 81 29 97 3c 64 52 74 59 8a 73 8a 66 7d ae 95 4c 6c 4f 60 53 58 95 9b 7b 7f 87 95 82 71 8c b0 bb 3f 6b 87 18 91 b5 c9 b2 dd dd 52 20 b1 59 ff 04 0a 00 30 30 30 30 30 30 31 39 20 00 14 05 00 6e 61 6d 65 00 14 08 00 73 75 72 6e 61 6d 65 00 60 01 00 01 e2 02 1b 03 
[14:30:10.911|Rx] 02 e2 15 02 e1 15 35 06 00 00 00 12 00 00 00 ca f5 1b 03 
[14:30:10.911|Tx] 02 62 15 
[14:30:10.911|Tx] 02 61 16 35 b2 00 00 02 8a 00 82 39 00 52 5d ff 80 80 91 69 9e 66 5c ae 9c 7e a7 7d 59 9f 58 95 3f 95 4d 7c 4e 8d 67 8d 35 88 43 68 71 88 6c 76 80 88 b6 93 60 64 7e 81 b0 9f 55 58 69 66 9f a2 86 6b 82 65 85 5a 8d 7e 85 a8 94 62 a2 5b 6a b2 9b 4c a1 75 bc 5e a1 83 74 9b ac 88 9d 8e 36 79 46 8f 4d 88 29 81 29 97 3c 64 52 74 59 8a 73 8a 66 7d ae 95 4c 6c 4f 60 53 58 95 9b 7b 7f 87 95 82 71 8c b0 bb 3f 6b 87 18 91 b5 c9 b2 dd dd 52 20 b1 59 ff 04 0a 00 30 30 30 30 30 30 32 30 20 00 14 05 00 6e 61 6d 65 00 14 08 00 73 75 72 6e 61 6d 65 00 60 01 00 01 84 a2 1b 03 
[14:30:10.933|Rx] 02 e2 16 02 e1 16 35 06 00 00 00 1b 14 00 00 00 7e 83 1b 03 
[14:30:10.933|Tx] 02 62 16 
[14:30:10.933|Tx] 02 61 17 35 b2 00 00 02 8a 00 82 39 00 52 5d ff 80 80 91 69 9e 66 5c ae 9c 7e a7 7d 59 9f 58 95 3f 95 4d 7c 4e 8d 67 8d 35 88 43 68 71 88 6c 76 80 88 b6 93 60 64 7e 81 b0 9f 55 58 69 66 9f a2 86 6b 82 65 85 5a 8d 7e 85 a8 94 62 a2 5b 6a b2 9b 4c a1 75 bc 5e a1 83 74 9b ac 88 9d 8e 36 79 46 8f 4d 88 29 81 29 97 3c 64 52 74 59 8a 73 8a 66 7d ae 95 4c 6c 4f 60 53 58 95 9b 7b 7f 87 95 82 71 8c b0 bb 3f 6b 87 18 91 b5 c9 b2 dd dd 52 20 b1 59 ff 04 0a 00 30 30 30 30 30 30 32 31 20 00 14 05 00 6e 61 6d 65 00 14 08 00 73 75 72 6e 61 6d 65 00 60 01 00 01 e5 0e 1b 03 
[14:30:10.955|Rx] 02 e2 17 02 e1 17 35 06 00 00 00 14 00 00 00 53 d2 1b 03 
[14:30:10.955|Tx] 02 62 17 
[14:30:10.955|Tx] 02 61 18 35 b2 00 00 02 8a 00 82 39 00 52 5d ff 80 80 91 69 9e 66 5c ae 9c 7e a7 7d 59 9f 58 95 3f 95 4d 7c 4e 8d 67 8d 35 88 43 68 71 88 6c 76 80 88 b6 93 60 64 7e 81 b0 9f 55 58 69 66 9f a2 86 6b 82 65 85 5a 8d 7e 85 a8 94 62 a2 5b 6a b2 9b 4c a1 75 bc 5e a1 83 74 9b ac 88 9d 8e 36 79 46 8f 4d 88 29 81 29 97 3c 64 52 74 59 8a 73 8a 66 7d ae 95 4c 6c 4f 60 53 58 95 9b 7b 7f 87 95 82 71 8c b0 bb 3f 6b 87 18 91 b5 c9 b2 dd dd 52 20 b1 59 ff 04 0a 00 30 30 30 30 30 30 32 32 20 00 14 05 00 6e 61 6d 65 00 14 08 00 73 75 72 6e 61 6d 65 00 60 01 00 01 67 ea 1b 03 
[14:30:10.978|Rx] 02 e2 18 02 e1 18 35 06 00 00 00 15 00 00 00 e7 a4 1b 03 
[14:30:10.978|Tx] 02 62 18 
[14:30:10.978|Tx] 02 61 19 35 b2 00 00 02 8a 00 82 39 00 52 5d ff 80 80 91 69 9e 66 5c ae 9c 7e a7 7d 59 9f 58 95 3f 95 4d 7c 4e 8d 67 8d 35 88 43 68 71 88 6c 76 80 88 b6 93 60 64 7e 81 b0 9f 55 58 69 66 9f a2 86 6b 82 65 85 5a 8d 7e 85 a8 94 62 a2 5b 6a b2 9b 4c a1 75 bc 5e a1 83 74 9b ac 88 9d 8e 36 79 46 8f 4d 88 29 81 29 97 3c 64 52 74 59 8a 73 8a 66 7d ae 95 4c 6c 4f 60 53 58 95 9b 7b 7f 87 95 82 71 8c b0 bb 3f 6b 87 18 91 b5 c9 b2 dd dd 52 20 b1 59 ff 04 0a 00 30 30 30 30 30 30 32 33 20 00 14 05 00 6e 61 6d 65 00 14 08 00 73 75 72 6e 61 6d 65 00 60 01 00 01 06 46 1b 03 
[14:30:10.999|Rx] 02 e2 19 02 e1 19 35 06 00 00 00 16 00 00 00 3b 3f 1b 03 
[14:30:10.999|Tx] 02 62 19 
[14:30:11.000|Tx] 02 61 1a 35 b2 00 00 02 8a 00 82 39 00 52 5d ff 80 80 91 69 9e 66 5c ae 9c 7e a7 7d 59 9f 58 95 3f 95 4d 7c 4e 8d 67 8d 35 88 43 68 71 88 6c 76 80 88 b6 93 60 64 7e 81 b0 9f 55 58 69 66 9f a2 86 6b 82 65 85 5a 8d 7e 85 a8 94 62 a2 5b 6a b2 9b 4c a1 75 bc 5e a1 83 74 9b ac 88 9d 8e 36 79 46 8f 4d 88 29 81 29 97 3c 64 52 74 59 8a 73 8a 66 7d ae 95 4c 6c 4f 60 53 58 95 9b 7b 7f 87 95 82 71 8c b0 bb 3f 6b 87 18 91 b5 c9 b2 dd dd 52 20 b1 59 ff 04 0a 00 30 30 30 30 30 30 32 34 20 00 14 05 00 6e 61 6d 65 00 14 08 00 73 75 72 6e 61 6d 65 00 60 01 00 01 42 33 1b 03 
[14:30:11.022|Rx] 02 e2 1a 02 e1 1a 35 06 00 00 00 17 00 00 00 8f 49 1b 03 
[14:30:11.022|Tx] 02 62 1a 
[14:30:11.022|Tx] 02 61 1b 1b 35 b2 00 00 02 8a 00 82 39 00 52 5d ff 80 80 91 69 9e 66 5c ae 9c 7e a7 7d 59 9f 58 95 3f 95 4d 7c 4e 8d 67 8d 35 88 43 68 71 88 6c 76 80 88 b6 93 60 64 7e 81 b0 9f 55 58 69 66 9f a2 86 6b 82 65 85 5a 8d 7e 85 a8 94 62 a2 5b 6a b2 9b 4c a1 75 bc 5e a1 83 74 9b ac 88 9d 8e 36 79 46 8f 4d 88 29 81 29 97 3c 64 52 74 59 8a 73 8a 66 7d ae 95 4c 6c 4f 60 53 58 95 9b 7b 7f 87 95 82 71 8c b0 bb 3f 6b 87 18 91 b5 c9 b2 dd dd 52 20 b1 59 ff 04 0a 00 30 30 30 30 30 30 32 35 20 00 14 05 00 6e 61 6d 65 00 14 08 00 73 75 72 6e 61 6d 65 00 60 01 00 01 23 9f 1b 03 
[14:30:11.044|Rx] 02 e2 1b 1b 02 e1 1b 1b 35 06 00 00 00 18 00 00 00 61 9d 1b 03 
[14:30:11.044|Tx] 02 62 1b 1b 
